@RELATION institutions
@ATTRIBUTE token_0 INTEGER
@ATTRIBUTE token_1 INTEGER
@ATTRIBUTE class {yes,no}

@DATA
{0 21,1 62,2 yes}
{0 17,1 25,2 no}
{0 20,1 36,2 yes}
{0 5,1 17,2 no}
{0 1,1 5,2 no}
{0 4,1 9,2 yes}
{0 33,1 87,2 yes}
{0 12,1 26,2 yes}
{0 27,1 59,2 yes}
{0 3,1 9,2 yes}
{0 9,1 20,2 yes}
{0 7,1 21,2 no}
{0 18,1 43,2 yes}
{0 13,1 28,2 no}
{0 13,1 28,2 yes}
{0 1,2 yes}
{0 4,1 6,2 yes}
{0 11,1 30,2 yes}
{0 19,1 46,2 no}
{0 8,1 27,2 yes}
{0 8,1 20,2 no}
{0 5,1 25,2 yes}
{0 9,1 26,2 no}
{0 3,1 7,2 yes}
{0 1,1 3,2 yes}
{0 1,1 1,2 yes}
{0 20,1 57,2 no}
{0 8,1 16,2 yes}
{0 48,1 116,2 yes}
{0 1,1 4,2 yes}
{0 1,1 2,2 yes}
{0 1,1 2,2 no}
{0 5,1 18,2 yes}
{0 16,1 38,2 no}
{0 1,1 2,2 no}
{0 16,1 24,2 no}
{0 3,1 9,2 no}
{0 10,1 13,2 yes}
{0 2,1 3,2 yes}
{0 9,1 10,2 no}
{0 3,1 2,2 no}
{0 1,1 2,2 yes}
{0 15,1 40,2 yes}
{0 24,1 45,2 no}
{0 8,1 35,2 yes}
{0 4,1 16,2 no}
{0 32,1 72,2 yes}
{0 40,1 85,2 yes}
{0 17,1 35,2 yes}
{0 2,1 12,2 no}
{0 7,1 21,2 yes}
{0 20,1 53,2 yes}
{0 1,1 3,2 yes}
{0 7,1 12,2 no}
{0 9,1 26,2 yes}
{0 7,1 24,2 yes}
{0 12,1 39,2 yes}
{0 5,1 8,2 yes}
{1 1,2 yes}
{0 1,1 2,2 yes}
{0 10,1 19,2 no}
{0 13,1 37,2 yes}
{0 4,1 12,2 yes}
{0 2,1 2,2 no}
{0 16,1 36,2 no}
{0 7,1 18,2 yes}
{0 29,1 70,2 no}
{0 1,1 1,2 no}
{1 1,2 yes}
{0 31,1 69,2 yes}
{0 7,1 23,2 yes}
{0 15,1 34,2 yes}
{0 15,1 24,2 yes}
{0 14,1 34,2 yes}
{0 1,1 3,2 yes}
{1 3,2 no}
{0 6,1 11,2 yes}
{0 15,1 46,2 yes}
{0 2,1 11,2 yes}
{0 13,1 28,2 yes}
{0 7,1 13,2 no}
{0 13,1 34,2 yes}
{0 4,1 17,2 yes}
{0 14,1 23,2 no}
{0 2,1 9,2 yes}
{0 20,1 62,2 yes}
{0 12,1 28,2 yes}
{0 3,1 10,2 no}
{0 5,1 11,2 yes}
{0 5,1 9,2 yes}
{0 25,1 58,2 no}
{0 13,1 31,2 yes}
{0 2,1 7,2 no}
{0 10,1 26,2 yes}
{0 9,1 16,2 yes}
{0 7,1 23,2 yes}
{0 11,1 21,2 no}
{0 2,1 7,2 yes}
{0 2,1 4,2 yes}
{0 29,1 70,2 yes}
{1 2,2 yes}
{0 2,1 2,2 yes}
{0 1,1 4,2 yes}
{0 5,1 17,2 yes}
{0 12,1 16,2 no}
{0 10,1 27,2 no}
{0 5,1 21,2 yes}
{0 7,1 18,2 yes}
{0 2,1 4,2 no}
{0 4,1 8,2 no}
{0 25,1 59,2 no}
{0 17,1 28,2 yes}
{0 17,1 40,2 no}
{0 6,1 24,2 yes}
{0 4,1 13,2 no}
{0 16,1 37,2 yes}
{0 13,1 31,2 yes}
{0 1,1 2,2 no}
{0 24,1 66,2 yes}
{0 18,1 27,2 no}
{0 15,1 28,2 yes}
{0 6,1 16,2 yes}
{0 6,1 8,2 no}
{0 6,1 16,2 yes}
{0 7,1 9,2 yes}
{0 8,1 14,2 no}
{0 34,1 101,2 yes}
{0 6,1 15,2 yes}
{0 9,1 18,2 yes}
{0 2,1 8,2 no}
{0 23,1 44,2 no}
{0 6,1 11,2 yes}
{0 9,1 20,2 yes}
{0 2,1 4,2 no}
{0 2,1 4,2 no}
{0 30,1 78,2 no}
{0 19,1 37,2 yes}
{0 4,1 10,2 yes}
{0 34,1 87,2 no}
{0 6,1 18,2 yes}
{0 6,1 13,2 yes}
{0 2,1 6,2 no}
{0 10,1 17,2 no}
{0 2,1 3,2 no}
{0 9,1 20,2 yes}
{0 8,1 7,2 no}
{0 1,1 4,2 no}
{0 3,1 4,2 no}
{0 2,1 8,2 yes}
{0 10,1 26,2 yes}
{0 25,1 51,2 yes}
{0 3,1 15,2 yes}
{0 12,1 26,2 no}
{0 1,1 5,2 no}
{0 9,1 12,2 no}
{0 5,1 8,2 no}
{0 32,1 73,2 yes}
{0 10,1 19,2 no}
{0 12,1 38,2 yes}
{0 32,1 88,2 yes}
{0 7,1 21,2 no}
{0 11,1 38,2 yes}
{0 20,1 38,2 yes}
{0 18,1 40,2 yes}
{0 5,1 3,2 yes}
{0 7,1 12,2 yes}
{1 1,2 yes}
{0 3,1 7,2 no}
{0 18,1 33,2 yes}
{0 8,1 30,2 yes}
{0 1,1 2,2 yes}
{0 4,1 15,2 yes}
{0 2,1 4,2 yes}
{0 21,1 40,2 yes}
{0 7,1 14,2 no}
{0 6,1 12,2 no}
{0 7,1 20,2 no}
{0 18,1 42,2 yes}
{0 12,1 33,2 yes}
{0 14,1 60,2 yes}
{0 6,1 13,2 no}
{0 1,1 3,2 yes}
{0 14,1 37,2 yes}
{0 5,1 10,2 no}
{0 19,1 32,2 yes}
{0 2,1 10,2 yes}
{0 28,1 64,2 yes}
{0 15,1 17,2 no}
{0 4,1 12,2 yes}
{0 18,1 40,2 yes}
{0 5,1 7,2 no}
{0 3,1 11,2 yes}
{0 14,1 43,2 no}
{0 14,1 35,2 no}
{0 2,1 2,2 no}
{0 12,1 27,2 yes}
{0 59,1 151,2 no}
{0 4,1 6,2 no}
{0 3,1 9,2 no}
{0 43,1 97,2 yes}
{0 1,1 2,2 no}
{0 11,1 18,2 yes}
{1 1,2 no}
{0 15,1 38,2 no}
{0 3,1 6,2 yes}
{0 4,1 18,2 yes}
{0 5,1 14,2 yes}
{0 9,1 36,2 yes}
{0 7,1 22,2 no}
{0 1,1 3,2 yes}
{0 1,1 2,2 no}
{0 52,1 130,2 no}
{0 4,1 4,2 no}
{0 31,1 79,2 no}
{0 13,1 33,2 no}
{0 5,1 10,2 no}
{0 7,1 17,2 yes}
{0 16,1 35,2 no}
{0 23,1 45,2 yes}
{0 8,1 23,2 yes}
{0 14,1 38,2 yes}
{0 17,1 32,2 no}
{0 54,1 113,2 yes}
{0 19,1 38,2 yes}
{1 1,2 yes}
{0 4,1 13,2 yes}
{0 12,1 22,2 yes}
{0 4,1 6,2 no}
{0 9,1 13,2 yes}
{0 4,1 7,2 no}
{0 2,1 2,2 no}
{0 30,1 92,2 no}
{0 7,1 13,2 yes}
{0 26,1 78,2 no}
{0 1,1 2,2 yes}
{0 5,1 26,2 yes}
{0 3,1 9,2 yes}
{0 13,1 41,2 yes}
{0 17,1 36,2 yes}
{0 16,1 35,2 yes}
{0 17,1 19,2 no}
{0 3,1 4,2 yes}
{0 20,1 45,2 yes}
{0 2,1 6,2 no}
{0 1,1 1,2 yes}
{0 14,1 28,2 no}
{0 12,1 27,2 yes}
{0 21,1 50,2 yes}
{0 9,1 17,2 no}
{0 1,1 1,2 yes}
{0 5,1 19,2 yes}
{0 17,1 46,2 no}
{0 4,1 17,2 yes}
{0 9,1 14,2 yes}
{0 27,1 74,2 yes}
{0 7,1 20,2 no}
{0 5,1 10,2 yes}
{0 8,1 15,2 no}
{0 17,1 32,2 no}
{1 1,2 no}
{0 28,1 80,2 no}
{0 8,1 21,2 yes}
{0 11,1 39,2 yes}
{0 1,1 5,2 yes}
{0 15,1 27,2 no}
{0 20,1 44,2 no}
{0 4,1 9,2 no}
{0 3,1 7,2 yes}
{0 6,1 11,2 no}
{0 3,1 19,2 yes}
{0 3,1 12,2 yes}
{0 3,1 7,2 no}
{0 5,1 11,2 no}
{0 21,1 56,2 yes}
{0 6,1 21,2 yes}
{0 9,1 18,2 yes}
{0 8,1 21,2 no}
{0 19,1 46,2 yes}
{0 1,1 5,2 yes}
{0 37,1 97,2 yes}
{0 12,1 48,2 yes}
{0 12,1 23,2 yes}
{0 5,1 12,2 yes}
{0 26,1 71,2 yes}
{0 15,1 51,2 yes}
{0 2,1 6,2 yes}
{0 1,1 9,2 no}
{0 37,1 93,2 yes}
{0 7,1 9,2 no}
{0 28,1 55,2 no}
{0 7,1 18,2 yes}
{0 10,1 39,2 no}
{0 1,1 1,2 yes}
{0 10,1 17,2 yes}
{0 4,1 10,2 yes}
{0 5,1 7,2 yes}
{0 21,1 57,2 no}
{0 4,1 12,2 yes}
{0 8,1 16,2 yes}
{0 8,1 20,2 no}
{1 1,2 yes}
{0 7,1 12,2 yes}
{0 2,1 4,2 yes}
{0 12,1 32,2 no}
{0 9,1 22,2 yes}
{0 3,1 13,2 no}
{0 2,1 5,2 no}
{0 5,1 11,2 yes}
{0 11,1 20,2 yes}
{1 1,2 yes}
{0 18,1 32,2 yes}
{0 14,1 23,2 yes}
{0 2,1 5,2 yes}
{0 6,1 13,2 yes}
{0 6,1 15,2 no}
{0 16,1 38,2 no}
{0 2,1 12,2 yes}
{0 47,1 94,2 no}
{0 5,1 11,2 yes}
{0 17,1 36,2 no}
{0 12,1 23,2 no}
{0 6,1 16,2 yes}
{0 3,1 8,2 yes}
{0 22,1 37,2 no}
{0 13,1 42,2 yes}
{0 6,1 14,2 no}
{0 5,1 11,2 yes}
{0 3,1 11,2 yes}
{0 8,1 15,2 no}
{0 12,1 31,2 yes}
{0 6,1 11,2 no}
{0 9,1 20,2 yes}
{0 1,1 2,2 no}
{0 40,1 79,2 yes}
{0 3,1 5,2 yes}
{0 1,1 4,2 no}
{0 2,1 1,2 yes}
{0 34,1 95,2 yes}
{0 7,1 20,2 no}
{0 6,1 17,2 yes}
{0 9,1 24,2 no}
{0 5,1 21,2 no}
{0 1,1 6,2 no}
{0 16,1 48,2 no}
{0 9,1 18,2 yes}
{1 1,2 yes}
{0 6,1 18,2 no}
{0 11,1 19,2 yes}
{0 20,1 25,2 no}
{0 9,1 28,2 no}
{0 37,1 81,2 yes}
{0 10,1 32,2 no}
{0 6,1 22,2 yes}
{0 8,1 28,2 no}
{0 7,1 16,2 yes}
{0 8,1 25,2 yes}
{0 11,1 25,2 yes}
{0 25,1 59,2 yes}
{0 1,1 1,2 yes}
{0 1,1 4,2 yes}
{0 18,1 45,2 no}
{0 15,1 26,2 yes}
{0 10,1 24,2 yes}
{0 9,1 33,2 yes}
{0 1,1 1,2 yes}
{0 65,1 148,2 yes}
{0 2,1 5,2 no}
{0 3,1 9,2 no}
{0 9,1 17,2 yes}
{0 3,1 14,2 no}
{0 8,1 30,2 yes}
{0 64,1 140,2 yes}
{0 5,1 10,2 yes}
{0 1,1 1,2 yes}
{0 15,1 35,2 yes}
{0 1,1 2,2 yes}
{0 11,1 22,2 no}
{0 2,1 6,2 yes}
{0 12,1 25,2 yes}
{0 4,1 6,2 yes}
{0 5,1 12,2 yes}
{0 2,1 4,2 yes}
{0 1,1 3,2 yes}
{0 4,1 10,2 no}
{0 14,1 32,2 no}
{0 8,1 18,2 yes}
{0 31,1 78,2 no}
{0 4,1 19,2 yes}
{1 1,2 no}
{0 26,1 48,2 yes}
{0 2,1 2,2 yes}
{0 8,1 19,2 yes}
{0 13,1 35,2 no}
{0 8,1 30,2 no}
{0 8,1 22,2 yes}
{0 10,1 26,2 yes}
{0 20,1 40,2 no}
{0 17,1 44,2 yes}
{1 2,2 yes}
{1 1,2 yes}
{0 15,1 37,2 no}
{0 10,1 20,2 no}
{1 1,2 yes}
{0 5,1 7,2 yes}
{0 10,1 16,2 yes}
{0 8,1 27,2 yes}
{0 3,1 6,2 yes}
{0 5,1 17,2 yes}
{0 4,1 12,2 yes}
{0 4,1 22,2 yes}
{0 4,1 11,2 no}
{0 2,1 7,2 yes}
{0 15,1 27,2 no}
{0 3,1 6,2 yes}
{0 47,1 99,2 yes}
{0 1,1 4,2 yes}
{0 5,1 15,2 no}
{0 13,1 28,2 no}
{0 5,1 13,2 no}
{0 14,1 35,2 yes}
{0 5,1 7,2 yes}
{0 6,1 18,2 no}
{0 1,1 1,2 yes}
{0 8,1 12,2 yes}
{0 3,1 9,2 yes}
{0 1,1 2,2 no}
{0 28,1 62,2 yes}
{0 13,1 36,2 yes}
{0 7,1 29,2 no}
{0 9,1 27,2 yes}
{0 6,1 13,2 yes}
{0 6,1 12,2 no}
{0 5,1 8,2 yes}
{0 1,1 2,2 yes}
{0 1,1 3,2 yes}
{0 9,1 19,2 yes}
{0 3,1 6,2 yes}
{0 1,1 2,2 yes}
{0 4,1 3,2 no}
{0 9,1 25,2 yes}
{0 1,1 1,2 no}
{0 5,1 12,2 yes}
{0 7,1 14,2 yes}
{0 14,1 31,2 no}
{0 8,1 25,2 yes}
{0 30,1 100,2 yes}
{0 7,1 24,2 yes}
{0 5,1 9,2 no}
{0 24,1 68,2 no}
{0 2,1 3,2 yes}
{0 14,1 34,2 yes}
{0 6,1 15,2 yes}
{0 141,1 274,2 yes}
{1 1,2 yes}
{0 14,1 43,2 yes}
{0 1,1 4,2 yes}
{0 7,1 17,2 yes}
{0 2,1 16,2 yes}
{0 5,1 20,2 no}
{0 8,1 22,2 yes}
{0 3,1 14,2 yes}
{0 4,1 8,2 yes}
{0 52,1 116,2 no}
{0 2,1 8,2 no}
{0 9,1 19,2 no}
{0 21,1 52,2 no}
{0 6,1 13,2 yes}
{0 2,1 2,2 no}
{0 8,1 24,2 yes}
{0 3,1 6,2 no}
{0 5,1 18,2 no}
{0 16,1 30,2 yes}
{0 14,1 25,2 yes}
{0 5,1 7,2 no}
{0 6,1 8,2 no}
{0 12,1 24,2 yes}
{0 8,1 22,2 yes}
{0 2,1 3,2 no}
{0 8,1 26,2 yes}
{0 2,1 4,2 yes}
{0 5,1 9,2 no}
{0 3,1 5,2 yes}
{0 1,1 3,2 yes}
{0 3,1 2,2 no}
{0 8,1 14,2 no}
{0 11,1 19,2 yes}
{0 10,1 20,2 yes}
{0 18,1 42,2 yes}
{0 11,1 23,2 yes}
{0 10,1 19,2 yes}
{0 6,1 14,2 yes}
{0 3,1 12,2 yes}
{0 1,1 2,2 yes}
{0 20,1 49,2 no}
{0 6,1 11,2 yes}
{0 3,1 14,2 no}
{0 1,1 1,2 no}
{0 1,1 2,2 yes}
{0 22,1 49,2 yes}
{0 3,1 6,2 no}
{0 2,1 12,2 yes}
{0 14,1 31,2 no}
{0 2,1 3,2 yes}
{0 20,1 38,2 no}
{0 29,1 94,2 yes}
{0 5,1 11,2 yes}
{0 12,1 24,2 no}
{0 17,1 37,2 no}
{0 4,1 4,2 no}
{0 5,1 21,2 yes}
{0 8,1 21,2 yes}
{0 4,1 8,2 yes}
{0 6,1 14,2 no}
{0 2,1 8,2 no}
{0 5,1 16,2 yes}
{0 13,1 31,2 no}
{0 6,1 17,2 yes}
{0 19,1 43,2 no}
{0 1,1 3,2 yes}
{0 16,1 30,2 yes}
{0 9,1 21,2 yes}
{0 9,1 33,2 yes}
{0 10,1 26,2 yes}
{0 7,1 12,2 yes}
{0 11,1 20,2 yes}
{0 1,1 2,2 yes}
{0 5,1 28,2 yes}
{0 25,1 68,2 yes}
{0 1,1 4,2 yes}
{0 4,1 15,2 yes}
{0 16,1 41,2 no}
{0 8,1 27,2 yes}
{0 12,1 23,2 no}
{0 1,1 5,2 no}
{0 11,1 26,2 yes}
{0 4,1 8,2 no}
{0 2,1 3,2 yes}
{0 37,1 78,2 yes}
{0 4,1 8,2 yes}
{0 8,1 26,2 no}
{0 13,1 31,2 no}
{0 6,1 11,2 yes}
{0 9,1 23,2 yes}
{0 2,1 4,2 yes}
{0 7,1 18,2 yes}
{0 7,1 29,2 yes}
{0 4,1 10,2 yes}
{0 26,1 56,2 yes}
{0 14,1 27,2 yes}
{0 4,1 7,2 no}
{0 4,1 7,2 no}
{0 3,1 3,2 no}
{0 4,1 12,2 no}
{0 13,1 30,2 yes}
{0 20,1 44,2 yes}
{0 9,1 22,2 no}
{0 13,1 37,2 yes}
{0 34,1 75,2 no}
{0 3,1 5,2 yes}
{0 53,1 123,2 no}
{0 18,1 49,2 yes}
{0 9,1 15,2 no}
{0 6,1 16,2 yes}
{0 8,1 19,2 no}
{0 16,1 37,2 yes}
{0 43,1 108,2 yes}
{0 6,1 21,2 yes}
{0 11,1 36,2 yes}
{0 11,1 19,2 no}
{0 20,1 46,2 yes}
{0 6,1 17,2 yes}
{0 70,1 164,2 no}
{1 1,2 yes}
{0 8,1 14,2 yes}
{0 16,1 53,2 yes}
{0 3,1 12,2 yes}
{0 1,1 5,2 no}
{0 1,1 3,2 yes}
{0 29,1 76,2 no}
{0 11,1 22,2 yes}
{0 25,1 60,2 yes}
{0 10,1 19,2 no}
{0 4,1 11,2 no}
{0 32,1 52,2 yes}
{0 26,1 55,2 no}
{0 4,1 16,2 yes}
{0 26,1 65,2 yes}
{0 1,1 3,2 no}
{1 1,2 yes}
{0 1,1 2,2 no}
{0 10,1 27,2 yes}
{0 7,1 19,2 yes}
{0 1,1 3,2 yes}
{0 23,1 56,2 yes}
{0 23,1 43,2 yes}
{0 3,1 7,2 yes}
{0 19,1 39,2 yes}
{0 7,1 13,2 no}
{0 13,1 29,2 yes}
{0 12,1 30,2 yes}
{0 11,1 32,2 yes}
{0 8,1 20,2 yes}
{0 7,1 14,2 yes}
{0 2,1 4,2 no}
{0 26,1 56,2 yes}
{0 27,1 86,2 yes}
{0 16,1 37,2 yes}
{0 11,1 23,2 yes}
{0 7,1 25,2 yes}
{0 5,1 27,2 no}
{0 7,1 29,2 no}
{0 11,1 28,2 yes}
{0 8,1 17,2 no}
{0 16,1 32,2 yes}
{0 9,1 15,2 no}
{0 1,1 3,2 yes}
{0 2,1 8,2 no}
{0 1,1 2,2 no}
{0 3,1 14,2 yes}
{0 1,1 2,2 no}
{0 4,1 8,2 yes}
{0 8,1 23,2 yes}
{0 3,1 10,2 no}
{0 6,1 10,2 yes}
{0 12,1 28,2 no}
{0 12,1 28,2 no}
{0 1,1 1,2 yes}
{0 12,1 20,2 yes}
{0 5,1 11,2 yes}
{0 9,1 21,2 yes}
{0 17,1 30,2 yes}
{0 2,1 3,2 no}
{0 7,1 17,2 yes}
{0 1,1 5,2 yes}
{0 1,1 2,2 yes}
{0 3,1 8,2 yes}
{0 7,1 27,2 yes}
{0 20,1 39,2 yes}
{0 1,1 3,2 yes}
{0 26,1 60,2 yes}
{0 6,1 25,2 no}
{1 1,2 yes}
{0 11,1 29,2 no}
{0 1,1 2,2 yes}
{0 6,1 14,2 no}
{0 8,1 22,2 yes}
{0 41,1 92,2 yes}
{0 1,1 5,2 yes}
{0 15,1 36,2 yes}
{0 5,1 14,2 yes}
{0 33,1 73,2 no}
{0 7,1 17,2 yes}
{0 13,1 30,2 yes}
{0 2,1 10,2 yes}
{0 9,1 20,2 no}
{0 13,1 37,2 yes}
{0 6,1 15,2 no}
{0 35,1 77,2 yes}
{0 12,1 29,2 yes}
{0 39,1 94,2 yes}
{0 19,1 28,2 yes}
{0 8,1 23,2 yes}
{0 7,1 15,2 no}
{0 8,1 15,2 yes}
{0 13,1 51,2 yes}
{0 7,1 12,2 no}
{0 4,1 11,2 yes}
{0 14,1 32,2 yes}
{0 12,1 24,2 yes}
{0 7,1 21,2 yes}
{0 3,1 16,2 yes}
{0 8,1 13,2 no}
{0 3,1 7,2 no}
{0 14,1 38,2 yes}
{0 2,1 6,2 yes}
{0 6,1 16,2 yes}
{0 1,1 1,2 yes}
{1 2,2 yes}
{0 17,1 44,2 yes}
{0 10,1 24,2 yes}
{0 1,1 2,2 yes}
{0 2,1 3,2 yes}
{0 27,1 49,2 no}
{0 6,1 19,2 yes}
{0 11,1 27,2 yes}
{0 12,1 35,2 yes}
{0 4,1 6,2 no}
{0 10,1 26,2 no}
{0 2,1 4,2 no}
{0 8,1 21,2 yes}
{0 6,1 14,2 yes}
{0 17,1 51,2 yes}
{0 3,1 7,2 no}
{0 28,1 81,2 yes}
{0 23,1 40,2 yes}
{0 6,1 16,2 yes}
{0 10,1 26,2 no}
{0 26,1 66,2 yes}
{0 8,1 21,2 no}
{0 11,1 25,2 yes}
{0 19,1 48,2 yes}
{0 27,1 52,2 yes}
{0 7,1 21,2 no}
{0 11,1 15,2 no}
{0 16,1 43,2 yes}
{0 8,1 20,2 yes}
{0 6,1 18,2 yes}
{0 18,1 28,2 yes}
{0 2,1 16,2 yes}
{0 7,1 18,2 no}
{0 56,1 140,2 no}
{0 1,1 1,2 yes}
{0 2,1 2,2 no}
{0 3,1 4,2 yes}
{0 5,1 17,2 no}
{0 43,1 100,2 yes}
{0 33,1 74,2 no}
{0 8,1 17,2 yes}
{0 9,1 20,2 yes}
{0 13,1 29,2 no}
{0 3,1 9,2 yes}
{0 8,1 17,2 yes}
{0 5,1 19,2 yes}
{0 1,1 3,2 yes}
{0 28,1 57,2 yes}
{0 9,1 24,2 yes}
{0 2,1 4,2 no}
{0 7,1 25,2 yes}
{1 2,2 no}
{0 4,1 11,2 no}
{0 4,1 8,2 yes}
{0 20,1 34,2 no}
{0 16,1 46,2 yes}
{0 6,1 19,2 yes}
{0 2,1 4,2 no}
{0 59,1 132,2 yes}
{0 9,1 24,2 yes}
{0 4,1 11,2 yes}
{0 11,1 25,2 no}
{0 22,1 45,2 no}
{0 7,1 14,2 yes}
{0 7,1 10,2 yes}
{0 2,1 2,2 no}
{0 8,1 21,2 yes}
{0 8,1 24,2 yes}
{0 14,1 34,2 no}
{0 10,1 42,2 yes}
{0 12,1 23,2 no}
{0 2,1 1,2 no}
{0 5,1 12,2 no}
{0 4,1 10,2 no}
{1 1,2 no}
{0 7,1 13,2 yes}
{0 10,1 20,2 yes}
{0 4,1 8,2 yes}
{0 23,1 57,2 yes}
{0 11,1 14,2 yes}
{0 15,1 50,2 no}
{0 1,1 1,2 no}
{0 15,1 38,2 yes}
{0 1,1 2,2 yes}
{0 17,1 41,2 yes}
{0 18,1 25,2 yes}
{0 40,1 80,2 no}
{0 2,1 11,2 no}
{0 17,1 45,2 yes}
{0 7,1 28,2 no}
{0 19,1 30,2 yes}
{0 15,1 51,2 yes}
{0 11,1 29,2 no}
{0 1,1 2,2 yes}
{0 1,1 3,2 yes}
{0 7,1 22,2 no}
{0 4,1 7,2 yes}
{0 13,1 20,2 no}
{0 7,1 19,2 no}
{0 7,1 21,2 yes}
{0 12,1 25,2 yes}
{0 1,1 2,2 yes}
{0 54,1 127,2 yes}
{0 5,1 16,2 yes}
{0 1,1 5,2 no}
{0 6,1 14,2 no}
{0 4,1 5,2 no}
{0 3,1 9,2 yes}
{0 1,1 3,2 yes}
{0 6,1 10,2 yes}
{0 17,1 35,2 yes}
{0 2,1 3,2 yes}
{0 2,1 1,2 no}
{0 17,1 43,2 no}
{0 14,1 36,2 no}
{0 4,1 6,2 no}
{0 9,1 23,2 yes}
{0 10,1 25,2 no}
{0 10,1 18,2 yes}
{0 2,1 4,2 yes}
{0 4,1 15,2 yes}
{0 17,1 52,2 yes}
{0 13,1 28,2 no}
{1 1,2 yes}
{0 31,1 71,2 yes}
{0 10,1 23,2 yes}
{0 13,1 34,2 no}
{0 18,1 33,2 no}
{0 20,1 42,2 yes}
{0 20,1 44,2 no}
{0 11,1 19,2 yes}
{0 8,1 17,2 yes}
{0 2,1 3,2 no}
{0 11,1 28,2 no}
{0 15,1 39,2 yes}
{0 3,1 2,2 no}
{0 4,1 19,2 yes}
{0 3,1 6,2 yes}
{0 30,1 74,2 no}
{0 6,1 13,2 yes}
{0 3,1 7,2 no}
{0 7,1 13,2 yes}
{0 9,1 24,2 yes}
{0 6,1 17,2 no}
{0 49,1 133,2 yes}
{0 5,1 18,2 no}
{0 6,1 17,2 yes}
{0 3,1 11,2 yes}
{0 16,1 58,2 yes}
{0 2,1 3,2 no}
{0 21,1 43,2 yes}
{0 4,1 10,2 yes}
{0 1,1 2,2 yes}
{0 6,1 18,2 yes}
{0 5,1 19,2 no}
{0 3,1 13,2 no}
{0 4,1 9,2 no}
{0 14,1 37,2 yes}
{0 4,1 8,2 yes}
{0 18,1 35,2 yes}
{0 21,1 45,2 yes}
{0 1,1 2,2 yes}
{0 7,1 21,2 yes}
{0 6,1 11,2 yes}
{0 4,1 8,2 yes}
{0 7,1 9,2 no}
{0 9,1 21,2 no}
{0 16,1 29,2 yes}
{0 3,1 7,2 yes}
{0 6,1 16,2 yes}
{0 5,1 10,2 yes}
{0 20,1 51,2 yes}
{0 9,1 23,2 no}
{0 2,1 14,2 yes}
{0 157,1 441,2 yes}
{0 8,1 26,2 yes}
{0 7,1 14,2 no}
{0 16,1 48,2 yes}
{0 6,1 10,2 yes}
{0 11,1 16,2 yes}
{0 9,1 9,2 yes}
{0 27,1 60,2 yes}
{0 8,1 25,2 no}
{0 1,1 3,2 yes}
{0 2,1 2,2 no}
{0 4,1 13,2 yes}
{0 1,1 2,2 no}
{0 18,1 52,2 yes}
{0 8,1 22,2 yes}
{0 17,1 32,2 yes}
{0 10,1 19,2 yes}
{0 9,1 27,2 yes}
{0 10,1 22,2 yes}
{0 3,1 12,2 yes}
{0 9,1 16,2 yes}
{0 10,1 33,2 yes}
{0 9,1 12,2 no}
{0 11,1 20,2 yes}
{0 2,1 12,2 yes}
{0 12,1 23,2 no}
{0 26,1 82,2 no}
{0 7,1 26,2 yes}
{0 8,1 18,2 yes}
{0 4,1 22,2 no}
{0 10,1 13,2 yes}
{0 11,1 21,2 yes}
{0 31,1 73,2 yes}
{0 7,1 18,2 yes}
{0 10,1 19,2 yes}
{0 6,1 15,2 yes}
{0 12,1 37,2 yes}
{0 1,1 2,2 yes}
{0 4,1 26,2 yes}
{0 10,1 23,2 no}
{0 3,1 5,2 yes}
{0 10,1 28,2 yes}
{0 5,1 7,2 no}
{0 5,1 18,2 yes}
{0 8,1 21,2 yes}
{0 6,1 13,2 yes}
{0 19,1 47,2 yes}
{0 19,1 47,2 no}
{0 10,1 21,2 no}
{0 8,1 18,2 yes}
{0 10,1 29,2 no}
{0 19,1 50,2 no}
{0 2,1 3,2 yes}
{0 12,1 39,2 no}
{0 10,1 17,2 yes}
{0 10,1 17,2 yes}
{0 6,1 18,2 yes}
{0 16,1 28,2 no}
{0 11,1 23,2 yes}
{0 5,1 23,2 yes}
{0 12,1 17,2 yes}
{0 7,1 20,2 no}
{0 14,1 39,2 no}
{0 11,1 20,2 yes}
{0 3,1 5,2 yes}
{0 8,1 22,2 yes}
{0 17,1 36,2 no}
{0 8,1 13,2 no}
{0 6,1 24,2 yes}
{0 7,1 18,2 yes}
{0 5,1 10,2 no}
{0 6,1 10,2 yes}
{0 2,1 2,2 no}
{0 1,1 3,2 yes}
{0 11,1 30,2 yes}
{0 7,1 13,2 yes}
{0 4,1 10,2 yes}
{0 4,1 14,2 yes}
{0 2,1 8,2 yes}
{0 4,1 17,2 yes}
{0 15,1 35,2 yes}
{0 7,1 14,2 no}
{0 5,1 21,2 yes}
{0 6,1 19,2 yes}
{0 5,1 16,2 yes}
{0 24,1 56,2 no}
{0 5,1 10,2 yes}
{0 9,1 18,2 yes}
{0 16,1 33,2 yes}
{0 19,1 50,2 yes}
{0 2,1 7,2 yes}
{0 21,1 43,2 no}
{0 3,1 8,2 yes}
{0 20,1 49,2 no}
{0 22,1 51,2 yes}
{0 1,1 5,2 yes}
{0 44,1 90,2 yes}
{0 3,1 5,2 no}
{0 13,1 32,2 yes}
{0 34,1 84,2 yes}
{0 14,1 43,2 no}
{0 15,1 51,2 yes}
{0 4,1 16,2 yes}
{0 5,1 10,2 no}
{0 11,1 29,2 yes}
{0 32,1 59,2 no}
